idx,answer,label
no7EQyX2hZsVuC3496qXwx,por que tiene pelos,True
XiV3QyPTJGwAzYGnUiwJpE,porque tiene pelos,False
jibZX3N4qRZ2qj2diwRvrC,por que cuando dices esfuerzo es por que te interesas en algo que te guste y te esfuerzas asta conseguir eso lo que quieras sea para mal o para bien,True
noe6dSqxDDSoUC7ZPxjg7i,andan de un lado a otro y son peludos,True
SkVJKzkMdEBrYXAJCW978m,y que es la principal pelota,False
VH8L6yrLWF4e4to4W8hgqa,ns,False
CyBtdmzXReR5apcYi3tZ8z,por que tienes pelos,False
977hEvw3QcTSGoT9Rb8jQP,por que es circular y tiene pelos,False
fTi2bdawqxKXR6EixZiEnh,porque cuando se te cae cabellos para recogerlos hacemos como una pelota,False
WMNPnRuSY4qrMuy74L6nvN,porque hay animales que parecen una bola de pelos,True
nEjaBZK6ECxMGSGLFz53HQ,porque un perro tiene pelos,False
XiXF8AcEnwRiTyTaUtUZmr,por que los gatos escupen bolas de pelos,True
XHR44TNhAJyKD2fmqywD2W,porque los cojines generalmente tienen pelo o algo suave y cómodo,True
3Zc29kv63Ki52tBBWHj5Xn,que,True
PZ5SR4z93onnEdBTxVU6iy,si,True
QdYwdV7c4aLbH7HUYVqW67,por que tiene pelos,True
kpoHKQQhRZs2VVmx8y3QrD,porque son peludas,False
mVV7AGVPaaDAguGT4PS4kP,por que tienen pelo en todo el cuerpo,True
9pBcrP7nEiSKUwCrkA6vje,por que son peludos,False
PB2QGMfJekjjjAAggunuiL,por que los peros tienen pelos,True
4jKwBo842MHHjYu5nJDzFp,es redonda,False
Ms9zEdxNxdbQbeHPU6wFDU,es redondo y podría parecer que tiene pelos pero no tiene espinas,False
kUWrX6fyJQN4JEinjBnfrW,porque el es demasiado fuerte ,True
4xRsp3CWAvWjBcM6qVterJ,es un perro peludo,False
agrhJfVhAQffpG3Vd7FM3B,por que tiene pelo,True
etrZ55jjaBqYcETggGsDAL,por que tiene la forma de una pelota y tiene cabello,False
Y9x82hGMWR9ejagRs6XqXc,porque tiene pelo,True
bwwVPhw6Gj7A7PFCrf4Wbi,los gatos tienen mucho pelo,True
59esuPNabDKzfC5QXGAEzL,por que esta peludito como cabellos,False
fXtsD4CTav9QRGrf38ywq3,por que se le pegan al balón,False
kHpiD5pDV6VcDath3APHU5,por que el dijo,False
5hFiXE6aSj29s3KL3HoZCL,porque los cocos tienen pelos,False
WuqNk7pQLTc5NuCGPPu6cG,por que si,True
8tJRZiqZWmb8BNT23b637R,el perro por que tiene mucho pelo un jardín por que esta lleno de pasto y es lo que lo cubre por lo tanto seria como su pelaje,True
98q3Y2PYt53kUA2b9NwDG6,así se le pueden decir para que no se escuche mal,True
9Aqfbpv4qQKaJW37BiWbyF,eehtrht,True
SdQXntnAzVF2M2FStLmzz7,por que te dan celos de otra persona,False
ATMP8bGKvH3C6yJKzAnV4k,por que el hilo puede pare ser una bola de pelos,False
5ifJQD9bUxvGVuh7N6jJXd,por que es muy cochino,True
EmyA4ed5eeVUvjQkdzEqFX,por que son muy peludos,True
QADFVNNq3K7bSQoCoYMXK2,por que los perros tiene pelos,True
eGHhFuh6H7CYfc9KZTzAKe,por que pelos se refiere a mucha cabellera y pelota a persona,False
Knd3tTmBVcpP8f3CycENjL,seria una manera de expresar un gato pero con un tanto de sentido figurado,False
Md6vmBtEbp5Rr3N4fWkW5y,por que es divertido y causa una emoción feliz,True
CAJgjbzftggkFe88fK9eFy,porque puede que su animal puede que tenga un chillido,True
aCUYkAWTeb5XvQTCt3vcJx,por que tienen mucho pelo,True
fqiTbchfmqJNkYcmZdtuqq,tiene pelos,False
2MdstExPytuhzZfMXbzpLN,tiene cabello,False
VpK7SedhAFYi64ijwxCLcW,porque normalmente existe una expresión acerca de esto,True
72aS84wr9mXGaA8c5KBUBV,ns,False
ACEgJ6QktaJrjdxadEVwBs,pues es solo una cosa,False
mNd7u4pUVUGYscyejobxGB,porque tienen mucho pelo,False
WB6sqSEr7eJLwMx7GXvjfw,por que un mechón de pelo es una pelota de pelos,True
GXDAy74kgT5d8aLiqPkeXt,porque es peluda,False
LJ6QQCUSZa3ned7iZuZ2QP,porque tiene pelo,False
nBFPR6bxRNitChg7godCMq,porque puede ser un animal con pelos,False
cjMwxpKLcN5R34f6Ux28zG,porque es un gato obeso,True
YsPLgp3NCawRuz8MZo9R5D,por que tiene grasa y con pelo se ven mas como una pelota,False
feLZKS6KNPy8cREEnipxiv,ya que es una persona que cae bien,False
8Y2YWR46iWfPTopCocGCbD,porque tiene pelos,True
F5bCz5wJmLKecaHY6vam3C,porque están cubiertos en pelaje,True
MdibhH2aZ3DzMC645t6zcQ,por que los perros tienen pelos,True
Se3Bffm2VFBwNkqPnm6q2C,porque tienen pelo y a algunos perros callejeros así los nombran,True
ax4njbqaVj3Ad9CVaZJWJz,ns,True
MzUD9RiHNHq4r4HZSPHvzt,porque tiene forma y pelos,True
9meD82ChgTGHL2BveV6MtG,porque tiene demasiado pelo,True
gnHFvyY7Qvavhj2pB53PcY,no es posible,False
dJwwDxAjywf3EwykZNAoT5,por que tiene pelos,True
SJADs7L2P78KTnkfFv7ZhE,la pelota de tenis tiene pelos,True
7HNMcJhMdesx3jhDzpMkzA,porque tengo cabello y es redonda,True
AJ5TasamqTMeTC9DfjD3Co,no sé,False
m9x38yyqPb3eMCx44xv9R3,tiene pelos,True
atTdKbGeJnTqTNVKaUKo5h,porque esta lleno de pelos,False
deuYWbP2rVMuVL6TRk8qJM,porque si,True
TkWjM7mkyt8xS5txsajg4z,porque tienen mucho cabello,True
XkEkxTgoB6rHe6UzC2V8zd,por que es de tela,False
NiDP59bnhPikEAfJ5kMbQc,no logro entender,False
WkfiuosSP7X4Z3mhU2rc9G,yes,False
8wkLRNN5BSY45KdNhmmZst,por que los animales tienen mucho pelo,False
Wqk7PREbJQSewnqDKLceo2,por que son parecidos,False
mtzE8jNBxa3sctBKRNMd9T,porque se hace una bola y es de pelos,False
YrMZPDBSLikoM7DXbqet3k,por que hay unos muy peludos y gorditos,False
X8ydRnQDqwJeeQ4kXiXvZe,porque esta gordo y tiene pelos y aun que no tengo gatos la mayoría lo son,True
TF2FyyeJeMV3Qsr8QfYTt2,por que algunos animales están peludos o pequeños como el hámster que es un animal pequeño y se hace volita,False
njuEHZWW6hLw7GPuQriyik,porque tienes pelos,False
ndeoJigaLAcL8zTYywykwt,tiene pelo,False
ctMJiWSsYbeMeMZZ5V2cp4,porque lo conforma una multitud de pelos,False
CTgzHFDQpdjQpsfbF8gYuW,por que es una forma de expresar un pensamiento,False
EhwgatTFp4MggD2nZEQp9y,por que es la realidad no hay forma de que sea otra cosa,False
VAby6TR7QxrA9NLeSENxJv,todo eso esta lleno de pelos,True
VVouagCqHg2nX967V5NyV5,pues por que son puros pelos,False
fBW4WqxT9DNxVH5MqvqfCt,falso,False
mRzktfNLS8eKfs4FSo33Wm,porque esta hecha de puro pelo,True
6ftyW5tACtUGdWTiSUUVzR,ellos están cubiertos de pelos,True
R68DaSXg52CUCpEpRSbGA6,porque esta tan gordo que parece una pelota de pelos,False
D8cNjFSrDwqkzTfMaVgixv,porque duermen así,False
78hbvK2dNzQDchsyYgTBgi,por su forma redonda y llena en este caso de cabello,False
i7A6mSWm2mS5bZUiyAudN9,las mascotas tienen pelos,True
9CTPYWRjWYrGsGa9efnLvx,por que es redonda y tiene pelos,False
MWuKnG2Cq3cjVJ8SZ8PAEQ,por que es bonito la amistad,True
Tv9fKnUd9YEfuufxEvVcR3,pues tienen pelos,True
F5u4n5zKhzQfEJBzfr9nVs,así son las metáforas,True
6LBjzPAs8mVXA4dSdQssZU,tienen pelos,True
BwAwzPfsJu8LhNADhFw3kn,porque ahí crecen pelos,False
LRScNFRbcpaiQgX6Hbudkj,es muy peludo,True
MU5udNEQELty6XjtasuBkg,por que ellos están llenos de pelos,True
YZn2mP9Cuo7xcBMA5PdDFA,por que tiene muchos pelos,True
aUx9SzKDDHNBr9FPfQhYhL,por los pelos,False
mP4j4omAH8GH2XgFjmV8Qr,porque el poema refleja la acción de cada persona en una pelota,True
9GSYtTTfUBKp8UVcF2eTJD,por que tiene pelos,True
ipFFBE3ysn5pZTr2E8ugbQ,porque la bola de pelos del gato es redonda como una pelota,True
ZntY4hTTS2PdpfPX6dKkQi,porque es un animal que tiene muchos pelos,True
2rTriMUzP2EyA2a3gV6iv5,falso,False
UvXpt8y8P2Z5A3HfSUKw4X,porque igual y a pelos se refiere a muchas cosas yo creo que es lo mas probable,False
VuEbR8nTe2JyczrLvR9E9q,porque puede ser que tenga mucho cabello,True
iCuj4PNwrdZ49467m9vwk4,falso,False
UoJjtx3Q2LhHTyD7sxGCAy,porque cuando vomitan producen una,True
MGDUr4kLnnA4pWrTLQjq2X,porque tienen pelo son peludos,True
P2DU8yVDZEmWKcDAfSTrkz,tienen muco pelo encima,False
mn55Zi3m5tXC4DyYp7n9n4,tiene muchos pelos,False
npFrt3nX9scjKS5eBAr95i,porque tiene pelo,True
iwgC5pUE7DyEqYmvpkAoG6,por que tal vez tiene mucho cabello o se le cae mucho ya sea a el o a sus mascotas,True
e4m7SzK8wNzjHvVT8xRh2S,porque es sentido figurado así es como habla el poema,True
28txM3nnzThvJM6CnVQqUi,ns,True
Bw8pq4XJ48f2kaKSomKWqj,porque los animales tiene pelos,False
RcRLJBFrAAB2Dh5spKbAvz,por que el hace fue,False
DoYwLz6mV9fJpmh2teYnRx,por que tiene mucho pelo,True
YGFxhPLf3Z7NYv4mkcdGpn,porque es de oro,False
HUuo6F3M8AppXUHHq43Fiu,es redondo con muchos pelos,True
TrHJGbesnJB7xSbmhbi2UV,por que esta peludo,True
34nLdmgaVxs6qZd5Q4b9Uz,por que no le ayo sentido a otra cosa,False
M25edNQSoYdx5fC3bUUNjw,por que un perrito parece una bola de pelos,False
Py3ffKFJrxbcz4vgjDzCoa,pues yo digo por que es como la cabeza,True
FcjJaZc8KLPSfzj8KkoRC2,tiene mucho pelo,False
5VoCWT6X7yCwsGjVyid3FA,por que tiene muchos pelos,True
dzSBCbihFnRpeevMwHr6TC,es muy velludo,True
SM4ZkhvBfXucJCqAnZZmTL,por que tiene pelos,False
8Chh4xpjvGUgZXoEfofCVb,falso,False
57bcL5PZptkWNYFX4tmNwu,tiene pelos,True
bsp2mpEZgj6pwEhpENxH4F,por que tiran pelo,False
fBgt7gsC6HqUwXBrrAZYEX,por que tienen pelos,True
7Dw9HASKonpcDzwJVRBbZT,tiene mucho pelo,False
AzoSJvCiNJ3A6McLdXrcqV,porque es una bola echa de pelos,False
Lo6s75yR8yqcdo7KUWNuuc,porque hasta la fecha cuento con cabello hablando en sentido literal,True
jePieNQM2zPqW6AsqXgwAo,porque si lees la oración completa con la palabra que quieres puede haber infinitas respuestas,False
MsrjYeCrRurngFEDZPE5YT,por que tiene pelos,False
QQpzDiQZnoGBuhrqRMkeLs,por que son peludos,True
HbiCu8AJBB7775TT4wx2oM,por que tiene pelos,False
8wS65mYnGmzMaKmKohodXX,por que cuando uno se peina se queda el cabello y se va haciendo una bola de pelos,True
8YW4NKsB3duGuVKMVSxXGT,por que están peludos,False
DH4zwwcj3NogTHS76PyTGB,porque tienen pelos y se enredan y puede ser una pelota de pelos,False
9wr6GdNZgzGdxAWyosDqeZ,por que pues es un animal muy peludo,False
YwxZjzXooyVyU6S9MtEyd4,porque están muy peludos,False
8UzSC3XUXwHJhD4eWp8BK3,perro o gato,True
GQV2efQeNV4U6R9wLsGwFc,por que los perros son muy peludos,True
aR3ksbRuMhoznfdytUkZnf,por que no lo he cepillando,True
aDTtLpbMgeR6qjsq7UMXyZ,por que se le puede pegar todo lo que tenga cerca,False
2ZKwJN7TB8UbjawQ4yCZfS,por que esta muy peludo,True
ieVszkKAZhxu9kYgyi3tnW,por que es redonda,True
XPDYzcKDKVLAjAmBLR7792,por que es peludo y grita,False
