idx,answer,label
8tkogzdocT4vWCYLJ2i28q,por que no habla en voz baja,True
K52ULDUGnrywqrrvx9SLFH,que grita mucho,True
98A7DZ9YV4Ldm9y6kCtxH5,que tiene muchos sentimientos,False
8ctSHedFJdM8irFwLjdLCT,es que su hermano es muy hiperactivo,False
W4apt7gsMohWhYghxTYShw,porque el grita mucho o muy fuerte,True
dzBwSFwVvSwZbBtjJyGYTH,no lo sé,False
GaTkVp63pduwCaqWGdhzz4,una pelota mu enojada,False
ZXBitW8MqrbgmePmKmSDa6,que siempre que se mueve hace demasiado ruido,True
Fn5SfPUmQBsP2XMaVuZKj6,su hermano grita todo el tiempo y es una pelota porque se esta ocupando como una alternativa,True
fDcLGp4tTZYtkrF6DT7g9G,es una persona gorda que grita,True
g4myiyZuNQNeNnutdabFvK,por siempre mete goles,False
YrCfcatZz2KJtYNeg4Bfa2,porque los niños son muy escandalosos,True
fkxhbr4Jo8AYyF7byiPfgY,puede ser que el hermanito este pequeño y nunca deja de llorar y gritar por todo lo que le hacen o le pasa,True
HqVbTNLvHMYySJoyJJKLUf,quiere decir que su hermano grita mucho,True
2uP5p3YWzc8JGSStGXE6hn,que es un niño gordo que grita por todo o su tono de voz es fuerte alto,True
atk9ytUs5jsSY7qU5pcqqB,al hermano lo representa como una pelota y el grita mucho,True
Y5VNRnPAAb9V4g2g6m77ip,que mi hermano grita mucho,True
P6d7vQy9adp3cnpy2MS88T,porque es bien gritón,True
NjX7jsmEuiggg8MT6fhrPz,que grita mucho,True
ZvmoE3kk7C5KZsz6soyKUD,que grita todo el tiempo,True
DZRNRo3gBPupK6PnY6BaWg,que empieza a gritar,False
7RVDGHMt4YPU9NhoXWHiRt,que su hermano es un niño súper gritón,True
E7JEM85wqE7ijYSx6SEYPf,que es una persona inquieta,True
Exyro37sP5om3GWU9pyjbQ,que grita por todo cada que rebota,True
WFxKfNaAB63cLp6fSU5pjL,ya es grande y grita,False
dbANcLUeZoMBxn4LXRvjDz,que su hermano es una pelota que grita,True
6FPHE9Fimsh2y3YaoqtZcW,describe como es el hermano quiere decir que grita mucho,True
aFBWUiD6Z6sytSYCt5CE7g,que su hermanito siempre esta gritando y hace mucho ruido,True
gDYFkt3H3ugfKfHob4Hnfw,que el hermano grita mucho,True
FaL288xzUPwTxfsMg3gm4L,porque el niño grita mucho,True
3gZb6qNHYuRpAikxWQSiYB,que habla mucho o grita,True
mzHEX2AFao4P79oCVmgFNw,que se la pasa gritando,True
KGHVitAYdkxi4p6s6PfJJL,que su hermano no se para de quejar a cada rato anda gritando,True
NYR3Bdturs9WKMaVfBqVgK,que su hermanito grita mucho,True
bJDtCiin6P4L4bFvqKEiWo,que es un niño muy inquieto,True
EbfnQTrfwZLHDZxm4KWi87,que el niño grita mucho y este se expresa mas común de esta forma,True
ccF8BQBcNCXdwjR3Sen4L9,que su hermano puede gritar por que tiene una pelotas de pelos,False
7s5Ay4wNzeyZEyxt42DsGz,que su mama es una persona muy gritona,False
GJvu6RZZ5dpzVzMoZakE5f,que mi hermana grita,False
5gJrunApH23ppF6H8rC4Kx,que su hermano grita mucho,True
jKrgzkCRgSg4torzZejK3u,que hay muchos gritos,True
JEYUFQmYHfa2yjtaXrFKqZ,se refiere a que su hermano grita mucho,True
9LHpkNeZWJ9jSmXprMrpVd,que mi hermanito es muy gritón,True
jc2FPEUkwJ4UkfpRAHUZjm,mi hermanito grita mucho,True
fmN4wqFcMKXJKxyudqgFUk,porque su hermanito sube demasiado la voz,True
2F4HkweBdtDrYccHbUvpt6,que grita mucho,True
UvTAFWF7J8CQhKwCvKBRms,es un niño que se la pasa gritando y llorando todo el día,True
6XYUsutjYcwEnoeJrRBDep,que mi hermano le encanta cantar,True
muW9PoBErA9orHvhQydWes,que esta lleno de gritos listos para salir,True
JFiZxDjZkAR6JZiAEezFKd,por que llora o le hacen algo,True
LDUMviwi3nbPpm48Tdbyni,su hermano es un niño que grita mucho,True
XnBQ4Tp7WTq3R3iT4MSxXM,que su hermano es muy gritón,True
dKdmUrhpZRJwwNAX9X6gHz,mi hermanito es gordito y es gritón,True
E7ghN9NKPm4DvDHLYKunEA,es muy latoso,False
btBL7cgLwJJFPcPJvz2gFN,pues se refiere a que tu hermana es la otra parte para ti,False
R7Yjz2gtCjWi9m22n6JoVJ,que siempre grita,True
fLUXnXfy2kneFnnETa3FpW,de que su hermano o es un quejumbroso o es un llorón,True
bDS2b6BVbiZKErdWMXmFpm,tal vez que siempre esta corriendo o no se esta en paz,True
